,condition_label,medical_abstract
10,0,"Is caffeine withdrawal the mechanism of postoperative headache? This study examined the hypothesis that headache after general anesthesia is related to a caffeine withdrawal state. Two hundred eighty-seven patients undergoing minor elective procedures under general anesthesia were studied. Four to six hours after anesthesia each patient completed a questionnaire assessing his or her own alcohol, tobacco, and caffeine consumption, and the occurrence of postoperative side effects. A highly significant difference was found between the caffeine consumption of patients with and without preoperative (P = 0.0035) and postoperative (P less than 0.0001) headache. Logistic regression analysis of trend between headache and caffeine consumption suggested that with each 100-mg increase in caffeine consumption, there was a 12% increase in the odds of headache developing in the immediate preoperative period (P less than 0.0066) and a 16% increase in the odds of postoperative headache developing (P less than 0.0001). No relationship was found between headache and the patients' age, sex, usual frequency of headache, consumption of alcohol or nicotine, or the anesthetic agents or adjuvants used. It is concluded that postoperative headache is related to caffeine intake and that this relationship is explained, at least in part, by a perioperative caffeine withdrawal syndrome. "
11,0,"Anterior perforations in lumbar discectomies. A report of four cases of vascular complications and a CT study of the prevertebral lumbar anatomy. Four cases of vascular complications to anterior perforations during discectomy prompted a CT study to measure lumbar disc diameters and to evaluate the prevertebral anatomy. Fifty young adults who had been referred for low-back pain and/or sciatica but had not undergone operation were included. In five additional patients, prone versus supine CT examinations were compared. Six typical configurations of the vascular anatomy could be classified to explain the type of vascular complications occurring at the L3-4 and L4-L5 disc levels. The sagittal diameter of the three lowest lumbar discs varied from 33 to 56 mm, indicating the importance of this parameter as an intraoperative guideline for the spine surgeon. Air-filled intestines were observed anterior to the L5-S1 disc predominantly in the prone position. The possible relationship between this finding and postoperative discitis is discussed. "
12,4,"Association between primary pulmonary hypertension and portal hypertension: analysis of its pathophysiology and clinical, laboratory and hemodynamic manifestations. To determine the clinical, laboratory and hemodynamic profile in patients with primary pulmonary hypertension and associated portal hypertension, 7 new cases and 71 previously reported cases were analyzed. There was no gender predilection and the average age at diagnosis was 41 years. Liver cirrhosis was the most frequent cause of hypertension (82%) and a surgical portosystemic shunt was present in 29%. Almost invariably, portal hypertension either preceded or was diagnosed concurrently with pulmonary hypertension, favoring the hypothesis that in portal hypertension, the pulmonary vasculature may be exposed to vasoactive substances normally metabolized or produced by the diseased liver, possibly inducing vasoconstriction or direct toxic damage to the pulmonary arteries. Clinically, exertional dyspnea was the most frequent presenting symptom (81%); other symptoms, such as syncope, chest pain and fatigue, were present in less than 33%. An accentuated pulmonary component of the second heart sound (82%) and a systolic murmur (69%) were the most common physical findings. At least 75% of these patients had evidence of pulmonary hypertension on electrocardiography (right ventricular hypertrophy) or roentgenography (cardiomegaly or dilated main pulmonary arteries, or both). Hemodynamic findings included severe pulmonary hypertension (mean pulmonary artery pressure 59 +/- 19 mm Hg) with normal pulmonary capillary wedge pressure and cardiac output. Treatment was basically palliative and the mean and median survival times were 15 and 6 months, respectively. In brief, on the basis of clinical presentation and laboratory features, patients with combined primary pulmonary hypertension and portal hypertension seldom represent a diagnostic challenge. Further research is needed on treatment, which remains palliative. The survival rate is poor and worse than that seen in isolated primary pulmonary hypertension. "
13,1,"Chemotherapy-related hemolytic-uremic syndrome after the treatment of head and neck cancer. A case report. A 62-year-old woman who was being treated for squamous cell carcinoma of the head and neck developed a chemotherapy-related hemolytic-uremic syndrome during the second cycle of neoadjuvant chemotherapy consisting of cisplatin, bleomycin, and methotrexate. Though the syndrome was suspected early, attempts at reversing the hematologic and renal abnormalities were unsuccessful. At postmortem examination, the characteristic microvascular lesions of the hemolytic-uremic syndrome were found in the kidneys. "
14,0,"Chest infection following head and neck surgery: a pilot study. This paper reports the results of a pilot study which examined factors associated with chest infection following head and neck surgery. The overall rate of chest infection was 11%, but was 20% in those patients having a tracheotomy. No infection developed in patients with an intact airway. Other factors which emerged as possibly important were the duration of surgery and heavy regular alcohol intake. We recommend that prophylactic antibiotics be continued for at least 48 h in patients requiring a tracheotomy as part of their head and neck surgery. This is against the trend of shorter antibiotic regimens recommended for prevention of wound infections. "
15,3,"Cemented and ingrowth fixation of the Miller-Galante prosthesis. Clinical and roentgenographic comparison after three- to six-year follow-up studies. One hundred thirty-nine cemented and 132 cementless Miller-Galante total knee prostheses were followed between three and six years (average, 43-44 months). The fixation technique was based on patient age, bone quality, and ability to delay full-weight bearing. Clinical follow-up studies were possible on 116 cemented knees. Fifteen knees were lost because of death before the three-year follow-up study, and eight knees required component removal. One hundred twenty-three cementless knees were available for clinical follow-up studies; there were three deaths, and six failures required component removal. No cemented failure was due to fixation, and three cementless failures were due to lack of tibial ingrowth in two and pain of undetermined etiology in one. Preoperative knee scores were slightly significant with cemented knees averaging 48 points and cementless knees averaging 52 points. A similar significant difference was maintained at the final follow-up study. No significant differences were noted for pain, limp, or support scores. Average range of motion was similar in the two groups. Radiolucent lines about the femoral component were rare. Cementless tibial radiolucencies were partial in up to 20% of examined zones, and complete tibial tray radiolucency was seen in only three patients. No correlation between radiolucency and knee scores was seen. "
16,0,"Transrectal ultrasonography of rectal carcinoma. Preoperative transrectal ultrasonographic staging of 38 patients with known adenocarcinoma of the rectum was performed. Six of these patients had preoperative radiation therapy. Of the 32 without radiation therapy, transrectal ultrasonography (TRUS) correctly staged disease limited to the rectum in 90% (18 of 20) and transmural extension in 50% (6 of 12), for a sensitivity for evaluating transmural extension of 50%, specificity of 90%, positive predictive value of 75%, and a negative predictive value of 25%. Nineteen patients had positive nodes. The sensitivity and specificity of detecting nodal metastases by TRUS were 63% and 85%. The positive and negative predictive values were 86% and 61%, respectively. TRUS was slightly superior to digital rectal examination in staging patients because of its superior ability to detect adenopathy. Adjacent organ involvement was correctly evaluated in five of six patients; peritumoral fibrosis was misinterpreted as tumor extension into uterus and ovary in one woman. Tumor shrinkage in all patients undergoing radiation therapy was identified, but fibrosis and edema made staging by TRUS unreliable in those patients. "
17,3,"Hemiparkinsonism as a complication of an Ommaya reservoir. Case report. The authors describe the case of a 28-year-old woman who developed the following symptoms in her right hand: a lasting resting tremor, transient focal rigidity, and paresthesia. These deficits occurred following treatment with intrathecal methotrexate via an Ommaya reservoir which was placed too deeply, resulting in trauma to the contralateral mesencephalon. "
18,1,"Induction of DNA fragmentation in chronic B-lymphocytic leukemia cells. Chronic lymphocytic leukemia of B cell type (B-CLL) is a neoplastic disorder characterized by the accumulation of small resting lymphocytes in the periphery. The phenotype of these cells suggests that they are ""frozen"" at an early stage of maturation. Glucocorticoid hormones are commonly used to treat patients with B-CLL, resulting in a reduction in the peripheral lymphocyte count by an undefined mechanism. Here we report that glucocorticoids stimulate DNA fragmentation characteristic of a suicide process known as apoptosis or programmed cell death (PCD) in suspensions of cells from patients with B-CLL. The effects can be mimicked by Ca2+ ionophore and involve a sustained increase in the cytosolic Ca2+ concentration. Specific antibodies binding to membrane-associated IgM on the leukemic cells can also induce PCD by a similar mechanism. Phorbol esters block DNA fragmentation and cell killing in response to all of the agents, suggesting that activation of protein kinase C desensitizes the cells to PCD. Targeting the B-CLL cells with antibodies that induce an unbalanced, sustained Ca2+ increase may therefore represent a rational strategy for the destruction of leukemic cells. "
19,0,"Renal replacement treatment for diabetic patients in Newcastle upon Tyne and the Northern region, 1964-88. OBJECTIVES--To review the experience of renal replacement treatment in diabetic patients treated in Newcastle upon Tyne and the Northern region from 1964 to 1988, and to compare the morbidity and mortality of diabetic patients treated with dialysis or transplantation with those of matched controls of non-diabetic patients. DESIGN--Retrospective study of clinical case notes. SETTING--Renal units of the Northern region, particularly that in Newcastle upon Tyne. PATIENTS--All 65 diabetic patients treated by renal replacement treatment in Newcastle upon Tyne from 1964 to 1987; 42 diabetic patients were matched with 42 non-diabetic patients according to age, sex, year of starting treatment, and type of treatment (dialysis or transplantation). MAIN OUTCOME MEASURES--Sex, age, renal biopsy findings, blood pressure, history of diabetic treatment, and plasma creatinine concentration at the start of renal replacement treatment. History of renal replacement treatments, suitability for transplantation, history of transplantation, cumulative survival, and cause of death during follow up. Survival of technique, cumulative survival of the first peritoneal catheter and history of peritonitis in patients treated with continuous ambulatory peritoneal dialysis; source of graft, histocompatibility antigens, duration of associated stay in hospital, and graft survival in patients receiving renal or pancreatic transplant. RESULTS--1259 Patients with chronic renal failure were accepted for renal replacement treatment in Newcastle upon Tyne, of whom 65 (5%) had diabetes. The first was accepted in 1974, and between 1974 and 1980 another 15 were treated (mean age 42 years; 4% of new patients). From 1981 to 1987, 49 diabetic patients (mean age 44; 9% of new patients) were treated. Fifty patients (77%) had insulin dependent diabetes and the remaining 15 (23%) non-insulin dependent diabetes. On average, the patients were aged 25 (range 5-57) when diabetes was first diagnosed and 44 (range 24-70) at the start of renal replacement treatment. The mean age at the start of treatment was 40 for patients with non-insulin dependent diabetes and 58 for patients with non-insulin dependent diabetes. Transplantation was performed in 33 of the diabetic patients, whose mean age was lower than that of those who did not receive a transplant (41 v 48 respectively, p less than 0.05). Comparison between the 42 diabetic patients and matched controls showed that the overall survival at five years was 46% and 77% respectively. The three year survival of the diabetic patients who did not receive a transplant was poor (41% v 79% respectively). Of patients transplanted, survival at five years was 73% in the diabetic patients and 90% in the controls. However, there was no significant difference in the five year graft survival (64% v 46% respectively). CONCLUSIONS--Diabetes adversely affects morbidity and mortality in patients having renal replacement treatment, but renal transplantation seems to be the best option for treating diabetic patients with end stage renal failure. "
20,4,"New angiotensin converting enzyme inhibitors. Their role in the management of hypertension. The introduction of orally active angiotensin converting enzyme (ACE) inhibitors has revolutionized the treatment of hypertensive disorders and provided an effective alternative for the management of congestive heart failure (CHF). By interfering with the formation of angiotensin II, the active agent of the renin system, ACE inhibitors block the system's vasoconstrictive and sodium-retaining effects, with a consequent reduction in systemic blood pressure. The net effect is improved blood flow and reduced cardiac work. Thus, ACE inhibitors are likely to improve cardiac work capacity and quality of life. Their mechanism of action differs markedly from that of traditional antihypertensive agents which lower blood pressure while reducing cardiac output and blood flow. Since the primary action of ACE inhibitors is to block the renin system, a dramatic response to monotherapy suggests a large renin factor while the lack of a response suggests a low-renin state more amenable to treatment with a diuretic or calcium antagonist. Because of their many attributes, ACE inhibitors are increasingly used as first-line therapy for the treatment of hypertension or CHF. The prototype orally active ACE inhibitor, captopril, is a sulfhydryl compound with a good safety profile at the recommended dosages but reported toxicity at higher dosages. Second-generation ACE inhibitors (eg, enalapril and quinapril) are more potent sulfhydryl-free esters with a greater affinity for the converting enzyme. These newer agents are pro-drugs requiring ester hydrolysis to form the active free acid compound. "
21,0,"Reappraisal of surgical treatment of traumatic transection of the thoracic aorta. Since Crawford's report in 1973, repair of traumatic transection of the thoracic aorta without shunt or bypass has emerged as a popular technique which simplifies the operation and avoids use of heparin. Growing evidence, however, indicates that the incidence of paraplegia is higher with this method and may outweigh its advantages. With this in mind, we have examined our experience with 40 patients who underwent repair of aortic transection from 1975-1988. The operated patients in our series all survived. Fourteen were repaired using some type of bypass or shunt, none of whom developed paraplegia. The remaining 26 patients were repaired without a shunt and 9 (34.6%) developed paraplegia or paraparesis (p less than 0.02). Paraplegia was related to aortic occlusion time (p less than 0.002). It did not occur in 11 patients with times less than 27 minutes, but happened in 2 of 8 patients with times between 28 and 35 minutes and in all 7 patients with clamp times over 35 minutes. These data suggest that shunt or bypass should be used in most cases of aortic transection. "
22,4,"Protecting the vasculature: an eye toward the future. Although calcium antagonists were originally developed for use in the management of patients with angina pectoris, they are now used in the management of other cardiovascular disorders, including hypertension. More recently, the calcium antagonists have been under investigation for their potential protective role in atherosclerosis. Coupled with these new possibilities for therapeutic use are the development of new, long-acting, tissue-specific calcium antagonists. Amlodipine belongs to this group, and although it is a dihydropyridine-based calcium antagonist, its pharmacologic profile differs from that of other dihydropyridine-based calcium antagonists. Differences include: different pH optimum for receptor binding, different rates of association and dissociation, and differences in allosteric interaction with the diltiazem and verapamil binding sites. Amlodipine, when given orally to rabbits receiving a high-cholesterol diet, reduces atheroma formation. Evidence of its ability to protect the vasculature is provided by its ability to significantly increase (p less than 0.001) survival in stroke-prone hypertensive rats. "
23,2,"Impaired pressor reactivity in cirrhosis: evidence for a peripheral vascular defect. The blood pressure responses to intravenous infusions of norepinephrine and angiotensin II, sympathetic and nonsympathetic vasoconstricting agents, respectively, were measured in 20 patients with cirrhosis (10 Child-Pugh grade A and 10 Child-Pugh grades B or C) and in 20 healthy subjects. The log PD20 (dose of agonist required to raise blood pressure by 20 mm Hg) for norepinephrine was 4.78 +/- 0.36 (mean +/- S.D.) in patients with severe cirrhosis and 4.36 +/- 0.37 in controls, p less than 0.01. Log PD20 for angiotensin II was 3.16 +/- 1.06 in patients with severe cirrhosis and 1.97 +/- 0.74 in controls, p less than 0.01. Cardiovascular responses to selective sympathetic agonists were measured in 10 other cirrhotic patients (all Child-Pugh grades B or C) and in 10 healthy controls. Log PD20s for phenylephrine, an alpha-1 adrenoceptor agonist, and for alphamethylnorepinephrine; an alpha-2 adrenoceptor agonist, were increased in cirrhosis (phenylephrine = 5.35 +/- 0.49 vs. 4.95 +/- 0.35, p less than 0.05; alphamethylnorepinephrine = 4.05 +/- 0.26 vs. 3.44 +/- 0.55, p less than 0.001). In contrast, log CD20 (dose of agonist required to raise the heart rate by 20 beats/min) for isoproterenol, a beta-adrenoceptor agonist, was similar in cirrhotic patients and controls (2.81 +/- 0.38 vs. 2.94 +/- 0.45, p = 0.49). These studies demonstrate that pressor reactivity to both sympathetic and nonsympathetic agonists is impaired in severe cirrhosis, that the impaired sympathetic responses are not caused by generalized sympathetic desensitization and that the site common to the four agonists with impaired responses is the peripheral vascular smooth muscle. "
24,0,"A community-based study of acute respiratory tract infection in Thai children. A 2-year longitudinal study was conducted among the population of a socioeconomically depressed urban community in Bangkok, Thailand, from January 1986 through December 1987 to determine the incidence, etiologic agents, and risk factors associated with acute respiratory tract infection (ARI) in children less than 5 years of age. Data were obtained for a total of 674 children, who were visited twice weekly for detection of signs and symptoms of ARI. During the first year of the study, throat-swab specimens were obtained for bacterial culture from both ill and healthy children and a nasal wash was performed on mildly ill children for detection of virus. During both years of the study, nasopharyngeal aspiration for identification of virus was performed for children with more severe infection. The overall incidence of ARI was 11.2 episodes per child-year. The highest (14.9) and lowest (8.8) rates per child-year occurred in age groups 6-11 months and 48-59 months, respectively. Respiratory syncytial virus, parainfluenza virus, adenovirus, Streptococcus pneumoniae, and Haemophilus influenzae were the prevalent pathogenic agents identified. Factors associated with higher risk of ARI were low family income, working mothers, mothers with allergies, chronic malnutrition, and crowding in the home. "
25,3,"Therapy of diseased stroke-prone spontaneously hypertensive rats with nimodipine. We investigated the therapeutic effect of nimodipine or parathyroidectomy in old, diseased stroke-prone spontaneously hypertensive rats by observing 98 male 1-year-old rats over 5 months. After stroke had occurred, the rats were divided into three groups: 1) parathyroidectomy, 2) nimodipine, and 3) controls. In the nimodipine group, the rats survived longer than those in the other groups. Blood pressure of the controls did not differ from the nimodipine-treated and parathyroidectomy animals. The increase in calcium content of brain and kidney tissues and of plasma renin activity, urea, and creatinine was attenuated by nimodipine or parathyroidectomy. The histology of the kidneys revealed widespread fibrinoid necrosis of arteries in all rats. In the nimodipine-treated or parathyroidectomy groups, healing of the lesions was detectable. Cerebral lesions were mainly characterized by fibrinoid necrosis. Nimodipine-treated as well as parathyroidectomied animals showed significantly fewer hypertensive cerebral lesions. In old, diseased stroke-prone spontaneously hypertensive rats, therapy with nimodipine or parathyroidectomy increased their survival rate. The cerebrovascular and renovascular lesions of treated animals were attenuated, and morphologic signs of healing were observed. Reduction of calcium overload by nimodipine or parathyroidectomy, even in an advanced stage of disease, had a therapeutic effect. "
26,3,"Effects of vagal stimulation on experimentally induced seizures in rats. Repetitive stimulation of the vagus nerve inhibits chemically induced seizures in dogs. We report here the results and conclusions from studies designed to answer some of the immediate questions raised by this finding. (1) Maximal stimulation of vagal C fibers at frequencies greater than 4 Hz prevents or reduces chemically and electrically induced seizures in young male rats. (2) Antiepileptic potency is directly related to the fraction of vagal C fibers stimulated. (3) Vagal stimulation shortens but does not shut down a chemical seizure once it has begun. (4) In rats, optimal stimulus frequency is approximately 10-20 Hz; duration of stimulus, 0.5-1 ms; and stimulus strength, 0.2-0.5 mA/mm2 of nerve cross-section. These results, when taken together with similar results obtained from dogs, monkeys, and humans, strongly suggest that periodic stimulation of the vagus nerve using appropriate stimulation parameters is a powerful method for preventing seizures. The data from the literature suggest that the antiepileptic actions of vagal stimulation are largely mediated by widespread release of GABA and glycine in the brainstem and cerebral cortex. The probable pathway is via projections from the nucleus of the solitary tract to the reticular formation and thence by diffuse projections to the cortex and other areas. Intermittent vagal stimulation has the potentiality of reducing the number and/or the intensity of seizures in patients with intractable epilepsy. These results indicate that feasibility studies in humans should be continued and expanded. "
27,4,"Segmental vascular resistance in postobstructive pulmonary vasculopathy. Chronic unilateral pulmonary arterial ligation has been touted as a model of arteriopathy resulting in a tremendous increase in anastomotic bronchial flow (Qbr) via collaterals. To investigate its effects on the pulmonary vasculature, we ligated the left main pulmonary artery of seven dogs and 120 days later pump perfused their left lower lobes (LLL) via a cannula in the pulmonary artery at pulmonary arterial flow (Qpa) of 250 ml/min. We measured Qbr (330 ml/min) and compared LLL with control contralateral right lower lobes (RLL) and three LLL from normal dogs. Pressure-flow (P-Q) curves were obtained by varying Qpa. With arterial and venous occlusion we measured total, arterial, venous, and middle segment resistances under baseline conditions, after serotonin and histamine, either with or without Qpa and with antegrade and retrograde Qbr. Light microscopy was done postmortem. The slope of the P-Q curve was 33.4 mmHg.l-1.min in the ligated lobes compared with 15.9 in the controls, attributable by the occlusion technique mainly to a rise in arterial resistance (22.4 mmHg.l-1.min compared with 7.4 in the controls) with a small rise in venous resistance. This was explained by significant arterial medial muscle thickening and some loss of LLL volume. The arterial segment was markedly hypersensitive to serotonin, and the venous segment was mildly hypersensitive to histamine compared with controls. The occlusion data also enabled us to model the point of entry of the bronchial circulation into the pulmonary circuit at the precapillary level and to calculate bronchial vascular resistance. We conclude that postobstructive vasculopathy substantially raises pulmonary vascular resistance, mainly upstream from the site of entry of the bronchial circulation. The role of the latter may be to keep it from rising excessively in the segments it perfuses, i.e., the middle and venous ones. "
28,3,"Widespread functional effects of discrete thalamic infarction. In order to investigate functional effects of various thalamic structures on metabolism in remote, morphologically intact cerebral regions, we used positron emission tomography of (18F)-2-fluoro-2-deoxy-D-glucose to study regional cerebral metabolic rates of glucose (rCMRGlu) in 11 patients with chronic unilateral or bilateral infarcts strictly confined to the thalamus. Patients were grouped according to computed tomographic scans showing anterior (three), medial (four), or posterior (four) lesions. Compared with a matched group of 11 healthy subjects (hemispheric CMRGlu 35.2 +/- 3.49 mumol/100 g per minute), glucose metabolism was significantly lower in the hemisphere ipsilateral to the infarction (31.2 +/- 2.97 mumol/100 g per minute). Patients with bilateral infarcts had lower hemispheric CMRGlu (29.9 +/- 2.74 mumol/100 g per minute) than those with unilateral lesions (32.2 +/- 2.97 mumol/100 g per minute). Depending on infarct location within the thalamus, there was differential depression of rCMRGlu, with the largest effects on frontal and occipital areas in medial infarctions. Except for ipsilateral thalamic deactivation, metabolic patterns with anterior thalamic infarcts were close to normal, while posterior infarcts mostly depressed rCMRGlu in the visual and in the inferior limbic cortex. Cerebellar metabolic rates were within normal limits in most cases. These patterns of regional cerebral deactivation may be related to categories of thalamic projections--intrathalamic, to limbic system and basal ganglia, diffuse to most cortical areas, and specific to defined neocortical areas. Even small brain lesions may have widespread functional sequelae, potentially demonstrable by positron emission tomography. "
