,condition_label,medical_abstract
10,0,"Disseminated Pneumocystis carinii infection with hepatic involvement in a patient with the acquired immune deficiency syndrome. Extrapulmonary infection with Pneumocystis carinii (P. carinii) in AIDS patients is uncommon, and is often described only at postmortem examination. Although most antemortem cases involve spread to the bone marrow or spleen, P. carinii involvement of other organs has only recently been described. Despite the frequency of liver enzyme abnormalities in AIDS patients with a history of P. carinii pneumonia, P. carinii has been observed only rarely in the liver. We present a well-documented case of P. carinii involving the liver in an AIDS patient with P. carinii pneumonia and progressive liver enzyme abnormalities. We suggest that P. carinii infection should be considered in the differential diagnosis of AIDS-related liver disease. "
11,1,"Brief intensive chemotherapy for metastatic non-small-cell lung cancer: a phase II study of the weekly CODE regimen. Fifty-three patients, 17 with stage IIIB and 36 with stage IV non-small-cell lung cancer, were given CODE (cisplatin, vincristine, doxorubicin, and etoposide) plus antibiotic prophylaxis and an antiemetic regimen in an intensive chemotherapy program emphasizing weekly treatment and a planned brief duration (9-12 weeks); for 45 of these patients, the CODE program also included antifungal prophylaxis and supportive corticosteroids. Of the total study population, 33 patients (62%) responded to treatment, including five (9%) with complete response. The median survival for the entire group was 42 weeks (55 weeks for those with stage IIIB and 39 weeks for those with stage IV). More than 40% were alive at 1 year. Comparison of granulocyte counts of patients receiving prednisone with those of the subgroup to whom no corticosteroids were given showed less granulocytopenia for those receiving prednisone. Use of prednisone thus allowed improved delivery of myelosuppressive drugs. CODE was halted in nine patients because of disease progression. Although more constitutional side effects are associated with weekly chemotherapy than with standard chemotherapy, only 12 of the remaining 44 patients (27%) failed to receive at least 9 weeks of treatment. Serious toxicity was uncommon: There were no treatment-related deaths and only three episodes of neutropenia with fever. CODE is a novel treatment for non-small-cell lung cancer that this pilot study provided entirely in an outpatient setting over a 9-12 week period with an acceptable incidence of toxicity and a promising level of efficacy. Additional testing and comparison with other regimens or supportive care alone are warranted. "
12,3,"Development of language in six hemispherectomized patients. The development of language skills in the isolated right hemisphere was investigated by comparing the performance of 3 left hemispherectomized with that of the 3 right hemispherectomized patients and three groups of control subjects on baseline clinical measures of language and on production and judgement of morphological markers. The initial brain insult in the hemispherectomy patients of each group had occurred either during early, middle or late childhood. The left hemispherectomy patients were severely impaired in language processing across all three stages of language development. The consequences of a right hemisphere insult on language development were more restricted, with deleterious effects being apparent only in the case in which the lesion was acquired during early childhood. "
13,1,"Use of cytoplasmic 5'nucleotidase for differentiating malignant from benign monoclonal gammopathies. Bone marrow smears from 15 patients with multiple myeloma, 15 patients with monoclonal gammopathy of undetermined significance (MGUS), and 15 control subjects were examined for the presence of cytoplasmic 5'nucleotidase (c5NT) in plasma cells. Plasma cell positivity for c5NT (mean and 95% confidence interval) in patients with multiple myeloma numbered 46.4% (38.0-54.8%), in those with MGUS it was 15.3% (11.1-19.6%), and in control subjects it was 1.2% (0.3-2.1%). These findings indicate that c5NT can be used to differentiate benign from malignant monoclonal gammopathies. "
14,4,"Noncoordinate regulation of alpha-1 adrenoreceptor coupling and reexpression of alpha skeletal actin in myocardial infarction-induced left ventricular failure in rats. To determine the effects of myocardial infarction-induced left ventricular failure on the regulation of surface alpha-1 adrenoreceptors and signal transduction, large infarcts were produced in rats and the animals killed seven days later. After the documentation of impaired left ventricular pump performance, radioligand binding studies of the alpha-1 adrenoreceptor, norepinephrine-stimulated phosphoinositol turnover, and ADP ribosylation of 41 kD substrate by pertussis toxin were examined in the hypertrophying unaffected myocardium. Moreover, the expression of sarcomeric actin isoforms was analyzed by Northern blots and hybridization with specific oligonucleotide probes. Alpha-1 adrenoreceptor density was found not to be altered in membranes obtained from the spared left ventricular tissue, whereas phosphoinositol turnover was increased 3.1-fold in the viable myocytes of infarcted hearts. Furthermore, pertussis toxin substrate was augmented 2.5-fold in membranes prepared from the surviving left ventricular myocardium. Finally, an upregulation of the skeletal actin isoform was detected in the tissue of the failing left ventricle. In conclusion, the possibility is raised that in the presence of severe myocardial dysfunction and ongoing reactive hypertrophy, effector pathways linked to the alpha-1 adrenoreceptor may stimulate the myocyte hypertrophic response which would tend to normalize cardiac hemodynamics. The reexpression of alpha skeletal actin may be a molecular indicator of the persistance of an overload on the myocardium. "
15,0,"Ptychotropism as a cutaneous feature of the CHILD syndrome. The hallmark of the CHILD syndrome is a unilateral ichthyosiform nevus that displays a pronounced affinity for the body folds. For this phenomenon the term ptychotropism is proposed. The expression is composed from the Greek words ptyche (fold) and trope (a turning). It is concluded that the cutaneous lesions of the CHILD nevus are determined by two factors, lyonization and ptychotropism. The phenomenon of ptychotropism constitutes an additional argument to distinguish the CHILD nevus from the inflammatory linear verrucous epidermal nevus because the latter is not ptychotropic. "
16,3,"Results of N-methyl-D-aspartate antagonists in perinatal cerebral asphyxia therapy. Perinatal cerebral asphyxia, which results in significant neurologic and cognitive disabilities in infants and children, remains a major health problem. Potential neurologic sequelae include cerebral palsy, mental retardation, and epilepsy. Over the next few years, neuroprotective agents that prevent asphyxial neuronal injury and death are likely to be developed. These agents may also be effective in prophylaxis and treatment of chronic neurologic disorders, including epilepsy and neurodegenerative disorders, such as Huntington disease. "
17,3,"Naloxone and spinal fluid drainage as adjuncts in the surgical treatment of thoracoabdominal and thoracic aneurysms. Forty-seven patients who were treated for thoracoabdominal or thoracic aneurysms over a 5 1/2-year period were analyzed for neurologic deficit risk. Patients were divided into two groups for analysis. Twenty-four patients, who were treated from January 1984 to December 1986, did not undergo spinal fluid drainage or naloxone administration (group A). Twenty-three patients, who were treated from January 1987 to August 1989, had spinal fluid drainage (group B); 12 patients in this group also received naloxone as an intravenous drip at 1 microgram/kg/hr for 48 hours after surgery. Permanent neurologic deficits occurred in seven (29%) group A patients but in only one (4%) group B patient, who did not receive naloxone (p less than 0.03). The first two group B patients to receive naloxone showed complete reversal of neurologic deficits on waking from anesthesia. This significant reduction in neurologic deficit was associated with an increased 1-year survival rate (72% in group A, 91% in group B). We conclude that the use of naloxone and spinal fluid drainage reduces the incidence of neurologic deficit that is associated with repair of thoracoabdominal and thoracic aortic aneurysms. This reduction in neurologic deficit is associated with improved survival in the long term. The observed reversal of postoperative neurologic deficits with naloxone implicates opiates as a major factor in the pathophysiology of spinal cord ischemia. "
18,0,"Mycobacterium chelonei keratopathy with visual rehabilitation by a triple procedure. We report a chronic keratouveitis following an eye injury, the etiology of which remained obscure despite repeated corneal scrapings and cultures. Eventually, the diagnosis was established by culturing Mycobacterium chelonei from a corneal biopsy specimen. Topical amikacin resolved active inflammation, but dense corneal scarring and a cataract remained. Visual rehabilitation was achieved through a combined penetrating keratoplasty, extracapsular cataract extraction, and intraocular lens implantation. This case illustrates that there should be a high index of suspicion of atypical mycobacteria when faced with any unusual keratitis, particularly following penetrating injuries and corneal grafts. "
19,1,"Flow cytometric DNA analysis of parathyroid tumors. Implication of aneuploidy for pathologic and biologic classification. The previous cytometric studies on parathyroid tumors have provided conflicting data regarding the relationship between DNA content and histopathology, resulting from differences in technical methods and data analysis. This study measured nuclear DNA of parathyroid tumors by flow cytometry in fresh material and determined whether DNA aneuploidy really assists in making a pathologic diagnosis of carcinoma or not. From May 1987 through April 1989, 65 consecutive patients operated on for primary hyperparathyroidism had DNA analysis of the freshly excised parathyroid tumors. Three of the patients had metastatic lesions of parathyroid carcinoma in the lung, cervical lymph nodes, and lung and mediastinal lymph nodes, respectively. Pathologic classifications of the lesions from the other 62 patients were 54 adenomas, four carcinomas, and four hyperplasias. In all the latter patients, hyperplasia was associated with a multiple endocrine neoplasia syndrome. Unequivocal evidence of aneuploidy was found in all of the metastatic lesions and 60% of the primary lesions of the carcinomas, in 9% of the adenomas and in 50% of the hyperplasias. Therefore, parathyroid carcinomas were more apt to be aneuploid than were adenomas (P = 0.0015, both-sided testing). In each of the cases of aneuploid hyperplasia, a small aneuploid peak was found. The high incidence of aneuploidy in patients with multiple endocrine neoplasia type 1 may indicate the presence of clonal heterogeneity of hyperplastic glands and the presence of an abnormal subset of cells that have malignant potential. Cell distribution analysis did not provide any significant information beyond ploidy level. In conclusion, DNA flow cytometric analysis of DNA ploidy patterns is a valuable adjunct to the histopathologic diagnosis of parathyroid neoplasms. "
20,2,"Annular pancreas as a cause of extrahepatic biliary obstruction. Annular pancreas is a rare congenital abnormality that is increasingly diagnosed by endoscopic retrograde cholangiopancreatography (ERCP) in the adult. In this population, it can present with duodenal or gastric ulceration, duodenal obstruction, pancreatitis, and, rarely, with associated congenital abnormalities. Although it has been suggested that biliary obstruction may result from associated pancreatitis, such cases have not been reported; primary extrahepatic biliary obstruction from a constricting annulus also has not been reported. We report such a case, and describe resolution of symptoms and a return to normal biochemical tests in a patient. The literature and embryology of annular pancreas are reviewed. We suggest that this entity be added to the differential diagnosis of extrahepatic biliary obstruction. "
21,4,"Nifedipine protects the heart from the acute deleterious effects of cocaine if administered before but not after cocaine. BACKGROUND. We tested the hypothesis that nifedipine, a calcium channel blocker, could ameliorate the toxic effects of cocaine on the myocardium. METHODS AND RESULTS. In an initial protocol, anesthetized dogs were pretreated with nifedipine or saline and then administered cocaine (10 mg/kg, i.v. bolus). Coronary blood flow, heart rate, mean arterial pressure, and the first derivation of left ventricular pressure (dP/dt) were measured at baseline, 2 minutes, and 15 minutes after cocaine administration. Nifedipine pretreatment prevented the early cocaine-induced decrease in coronary blood flow and improved left ventricular dP/dt compared with untreated control animals. After cocaine, ejection fraction fell in the saline group to 37 +/- 3% but increased in the nifedipine group to 59 +/- 4% (p less than 0.05). In a second protocol, vehicle or intravenous nifedipine was administered after an infusion of cocaine (10 mg/kg). In contrast to pretreatment, there was no significant improvement in left ventricular function or coronary blood flow in nifedipine-treated versus control animals. Data from the study also suggested that cocaine acts directly on the myocardium. Within seconds of cocaine bolus administration, coronary blood flow in control animals increased to a peak level 59 +/- 14% higher than before cocaine and left ventricular dP/dt decreased by 23 +/- 5%, providing evidence that cocaine causes direct depression of myocardial function independent of a decrease in myocardial blood flow. CONCLUSIONS. We conclude that nifedipine administered as a pretreatment protects against the depression of myocardial function and decrease in coronary blood flow caused by acute cocaine administration. However, when nifedipine is given after cocaine, no improvement is seen. Cocaine has a direct negative inotropic effect on the heart that is independent of a decrease in coronary blood flow. "
22,1,"Biopsy of the breast for mammographically detected lesions. We prospectively studied 718 women who underwent biopsy of the breast for suspicious, mammographically detected mammary lesions in an attempt to identify key clinical risk factors, as well as roentgenographic characteristics associated with the appearance of early carcinoma of the breast. Patients with a benign outcome had an average age of 55 years versus 63 years for patients with carcinoma of the breast. Seventy-six per cent of these patients had no previous history of mammary problems, 20 per cent had a positive family history for carcinoma of the breast, 58 per cent were premenopausal and 21 per cent had used birth control pills. Except for age (p less than 0.001), the distribution of clinical risk factors was equal among patients with benign or malignant outcomes. Suspicious mammographic findings included mass lesions (53 per cent), calcifications (36 per cent) and the association of both (11 per cent). The predominant Wolfe pattern on mammography was P1 (36 per cent). No relationship was observed between Wolfe pattern and malignant conditions. In this group of patients, mammography was poorly specific; however, the positive predictive value increased with age and is related to the age-specific prevalence of carcinoma of the breast. Eight hundred and twenty-five lesions were removed. Twenty-five per cent (n = 203) of the specimens taken at biopsy contained carcinoma. Stellate mass lesions were highly suggestive of a malignant growth (p less than 0.0001). No relationship between the size of the suspicious mammographic mass and the malignant lesion was observed. A marked correlation (chi-square test with Yate's correction) was observed between malignant tumor and lesions with a linear or branching pattern, more than 15 calcifications, or small sized calcifications. The presence of a mass with calcifications was associated with carcinoma in 34 per cent. The incidence of invasive carcinoma was much higher for mass lesions (81 per cent) than for suspicious calcifications (56 per cent) (p less than 0.0001). "
23,2,"Antenatal spontaneous perforation of the extrahepatic biliary tree. Spontaneous perforation of the biliary system is an unusual neonatal phenomenon that is rarely recognized at birth. To date, it has not been reported antenatally. A 16-year-old pregnant adolescent had an ultrasonogram at 25 weeks of pregnancy that revealed ascites in the fetus. After the infant was delivered at 32 weeks, a hepato-iminodiacetic acid scan showed a spontaneous rupture of the common bile duct. The infant was treated with external drainage of the biliary tree and recovered well. This case demonstrates that spontaneous perforations of the bile ducts can occur much earlier than the usually described 2 to 12 weeks after birth, can be diagnosed antenatally, and should be added to the list of causes of fetal ascites. "
24,3,"Risk of dementia in first-degree relatives of patients with Alzheimer's disease and related disorders. First-degree relatives of patients with Alzheimer's disease (AD) are at greater risk for dementia when compared with the relatives of their healthy peers, but not when compared with the relatives of patients with Parkinson's disease. This may indicate that the risk of dementia in these relatives is not specific to AD or that these studies are biased. We obtained a family history and vital status information on each first-degree relative of patients attending a clinic and in a group of recruited healthy elderly subjects. Patients formed two groups: probable AD and other forms of dementia or cognitive disorders without dementia. The odds of dementia in first-degree relatives did not differ between patient groups. The odds of dementia in relatives of patients with probable AD or other forms of dementia was six times that in the relatives of the healthy elderly subjects. The cumulative incidence of dementia increased with age in the first-degree relatives of all subjects. Approximately 50% of the first-degree relatives of patients with AD were demented by age 91 years, but almost the same number of the other patient group's relatives were demented as well. That figure was never reached in the healthy elderly subject's relatives. Because the risk of dementia in first-degree relatives of patients with AD was similar to that for patients with other disorders, we cannot exclude the possibility that this is the result of selection and information biases. Our investigation implies that the increased risk of dementia may not be specific to relatives of patients with AD; the risk may also be increased in first-degree relatives of patients with other neurologic disorders. "
25,0,"Preseason strength and flexibility imbalances associated with athletic injuries in female collegiate athletes. One hundred thirty-eight female collegiate athletes, participating in eight weightbearing varsity sports, were administered preseason strength and flexibility tests and followed for injuries during their sports seasons. Strength was measured as the maximal isokinetic torque of the right and left knee flexors and knee extensors at 30 and 180 deg/sec. Flexibility was measured as the active range of motion of several lower body joints. An athletic trainer evaluated and recorded injuries occurring to the athletes in practice or competition. Forty percent of the women suffered one or more injuries. Athletes experienced more lower extremity injuries if they had: 1) a right knee flexor 15% stronger than the left knee flexor at 180 deg/sec; 2) a right hip extensor 15% more flexible than the left hip extensor; 3) a knee flexor/knee extensor ratio of less than 0.75 at 180 deg/sec. There was a trend for higher injury rates to be associated with knee flexor or hip extensor imbalances of 15% or more on either side of the body. These data demonstrate that specific strength and flexibility imbalances are associated with lower extremity injuries in female collegiate athletes. "
26,2,"Cytologic criteria to distinguish hepatocellular carcinoma from nonneoplastic liver. The authors reviewed a series of fine-needle aspiration biopsy (FNAB) specimens of the liver to identify useful cytologic criteria to distinguish hepatocellular carcinoma (HCC) from nonneoplastic liver. Ten cytologic features were examined in this study: high cellularity, acinar pattern, trabecular pattern, hyperchromasia, pleomorphism, irregularly granular chromatin, uniformly prominent nucleoli, multiple nucleoli, increased nuclear/cytoplasmic ratio, and atypical naked hepatocytic nuclei. These features were examined in a series of 82 FNAB specimens from 52 patients with HCC and 30 patients with nonneoplastic lesions. With the use of a step-wise logistic regression analysis, three features were identified as predictive of HCC: increased nuclear/cytoplasmic ratio (P = 0.001), trabecular pattern (P = 0.002), and atypical naked hepatocytic nuclei (P = 0.03). When these three criteria were used, the sensitivity of diagnosing HCC by FNAB was 100%, and the specificity was 87%. "
27,4,"Liver transplantation in children. Although liver transplantation is now accepted as the ideal therapy for end-stage liver disease, relatively few centers have gained a large experience in children, and good results have been elusive. Technical difficulty and a high incidence of graft failure are among the obstacles to success. At the University of California at Los Angeles, 39% of our liver transplants are in the patients who are younger than 18 years. We have analyzed our experience with 103 patients to emphasize factors important to a favorable outcome with the procedure. One hundred twenty-three transplants were performed in 103 children (mean age, 5.2 years; 48% younger than 3 years). No reduced-size grafts were used. Scrupulous attention to technical details of the vascular reconstruction, including frequent use of the supraceliac aorta of the recipient and interrupted suture techniques, ensured construction of sound hepatic artery and portal vein anastomoses at the first operation. Preoperative exchange transfusions were used if the prothrombin time was prolonged beyond 7 seconds, resulting in an average blood loss of only 3.3 volumes. Cyclosporine dosage was maintained in the high therapeutic range for the first 4 weeks, and anti-T-cell antibody (OKT3) was used for rejection (38%). Amphotericin prophylaxis was used for biliary atresia patients with multiple previous operations. Eighty-two of one hundred three patients (80%) are alive. There were no intraoperative deaths. Actuarial survival rates at 6 months, 1 year, and 5 years are 80%, 79%, and 77%, respectively. Survival of patients who underwent transplantation at age less than 1 year is 65% versus 85% at age more than 1 year (p = 0.08). Retransplantation was performed in 19 patients (18%), with a survival rate of 58%. Hepatic artery thrombosis, the most frequent technical complication, occurred in only 16 patients (13%). Survival rates of ABO identical-match versus nonidentical-match grafts were 96% and 60%, respectively (p = 0.02). Graft survival was only 47% if more than one steroid cycle was needed, compared to 75% survival with OKT3 treatment. Despite impairment of renal function (glomerular filtration rate [GFR] less than 80 cc/kg/min) in 54% of patients and hypertension requiring therapy in 27%, 90% of the children demonstrated enhancement of growth, development, and functional status. The following conclusions were made. (1) Pediatric liver transplantation is the treatment of choice for all types of end-stage liver disease and should be considered early. (2) Factors that enhance survival include technical precision, aggressive retransplantation, antifungal chemoprophylaxis and therapy, and judicious immunosuppression with use of OKT3 for rejection.(ABSTRACT TRUNCATED AT 400 WORDS). "
28,0,"Effect of aerosolized fibrin solution on intraperitoneal contamination. The potential deleterious effects of aerosolized fibrin on contaminated procedures were investigated in a rat model of peritonitis. One hundred forty rats were divided into two groups. In the control group, gelatin capsules containing feces (10(7) bacteria per milliliter) and barium sulfate at various dilutions were placed into the abdomen; in the second experimental group, a solution of cryoprecipitate, thrombin, and calcium was sprayed diffusely into the peritoneal cavity after similar fecal contamination. Fecal inocula with low bacterial concentrations (0.01, 0.1, and 0.15 mL) caused few deaths from peritonitis or abscess formation in either group. Heavy peritoneal contamination (0.25, 0.3, and 0.5 mL) caused early deaths from peritonitis in both groups, with 80% of the deaths due to sepsis in the first 48 hours. However, in the moderately contaminated rats (0.2 mL of fecal inoculate), fibrin aerosol reduced the 10-day mortality from 80% to 10%. In all survivors in the fibrin-treated group, intraperitoneal abscesses developed. With intraperitoneal bacterial concentrations of 2 x 10(6) organisms, early acute mortality from fibrinopurulent peritonitis is decreased at the expense of late, localized, nonlethal abscess formation. Aerosolized fibrin solution must be used with caution in contaminated surgery. "
