,condition_label,medical_abstract
10,3,"Neurologic complications of alcoholism. Neurologic and myopathic complications of alcoholism are multiple and diverse, affecting both the central and peripheral nervous systems. In the ED, initial concern is for diagnosing readily reversible causes and ruling out possible life- or limb-threatening etiologies. A rapid assessment of the ABCs, a fingerstick blood glucose determination, and, in cases of AMS, the administration of intravenous naloxone is indicated. In almost every instance of a potential neurologic complication, intravenous thiamine replacement is indicated initially, along with the parenteral administration of folic acid and the other B vitamins, including nicotinic acid and pyridoxine. Metabolic screening with electrolytes, glucose, blood urea nitrogen, creatinine, calcium, magnesium, liver enzymes (AST, alkaline phosphatase), bilirubin, arterial blood gases with carboxyhemoglobin determination, and a complete blood count are often warranted. Special tests such as CT scan, CK, ammonia, or toxicologic screens are indicated in specific instances. In terms of physical examination, attention to the presence of focal neurologic findings is paramount because of the possibility of a subdural or epidural hematoma. It is important not to miss meningitis and a low threshold for treatment or lumbar puncture should be maintained. Specialized consultation and referral are needed only after stabilization and appropriate tests are performed. If an organized approach to the evaluation of an alcoholic with neurologic symptoms is undertaken, occult disease will not be missed and outcomes will be improved. "
11,4,"Ultra short-acting intravenous beta-adrenergic blockade as add-on therapy in acute unstable angina. To assess the efficacy and safety of the ultra short-acting beta-blocking agent, esmolol, in acute unstable angina, we administered esmolol to 21 patients who had persistent angina despite conventional medical therapy. Following a baseline Doppler echocardiographic examination, esmolol was titrated to reduce the rate-pressure product by at least 20%. Once the patients had been receiving a maintenance dosage for 30 minutes, Doppler echocardiographic studies were repeated. Mean esmolol dose at target response was 17 +/- 16 mg/min, with the dosage range of 8 to 24 mg/min. Esmolol was effective in alleviating anginal chest pain in 18 of the 21 patients. Seven patients eventually underwent percutaneous transluminal coronary angioplasty (PTCA) and eight had coronary bypass surgery. The remainder were discharged receiving medical therapy including oral beta-blockade. During esmolol therapy, heart rate and blood pressure decreased significantly (86 +/- 14 to 68 +/- 12 beats/min and 125 +/- 16 to 103 +/- 20 mm Hg, both p less than 0.001). Cardiac output decreased from 5.4 +/- 1.3 to 4.5 +/- 1.1 L/min (p less than 0.001) secondary to a decrease in heart rate as stroke volume remained unchanged. Left ventricular ejection fraction increased from 47 +/- 12 to 49 +/- 13 with esmolol therapy, although this change was not statistically significant. Both the one third filling fraction as well as E/A ratio (ratio of early-to-late diastolic filling velocities) increased with esmolol therapy (35 +/- 8% to 38 +/- 8% and 0.73 +/- 0.2 to 0.85 +/- 0.23, both p less than 0.005), indicating improvement in left ventricular diastolic function. "
12,3,"Nasal midline masses in infants and children. Dermoids, encephaloceles, and gliomas. Nasal dermoids, gliomas, and encephaloceles are uncommon congenital lesions that result from aberrant embryologic development. We have treated 46 children with these nasal lesions. In view of the potential intracranial connection, patients are at risk for intracranial infection, and early surgical correction is thus imperative. Neuroimaging studies may help to predict intracranial involvement. "
13,4,"Accelerated arteriosclerosis in heart transplant recipients is associated with a T-lymphocyte-mediated endothelialitis. Accelerated arteriosclerosis has emerged as a major life-threatening complication in long-term survivors of heart transplantation. It has been proposed that accelerated arteriosclerosis is an immune-mediated complication of rejection. We observed a striking endothelialitis in the coronary arteries of two explanted hearts obtained from patients with severe transplant-related accelerated arteriosclerosis. This finding prompted us to review the pathologic changes in the coronary arteries of 23 autopsied patients who had received heart transplants. The infiltrate in these vessels was characterized using immunohistochemical stains for lymphocytes (CD45), macrophages (MAC-387), T lymphocytes (CD45RO), B lymphocytes (L-26), and smooth muscle cells (actin). In addition, a full panel of monoclonal antibodies was used on the fresh-frozen tissue available from one of the two explanted hearts. Ten of the eleven recipients with accelerated arteriosclerosis had a moderate to marked lymphocytic endothelialitis compared to 3 of 14 without transplant-related arteriosclerosis (P less than 0.005). Immunohistochemical staining of the paraffin-embedded material demonstrated that most of the lymphocytes in the subendothelial space of these vessels were T lymphocytes and that this infiltrate was associated with an accumulation of macrophages and a proliferation of smooth muscle cells in the intima. In the explanted heart from which fresh-frozen tissue was available for more detailed cell typing, the T cells marked predominantly as cytotoxic T lymphocytes (CD8+, CD2+). These results suggest that accelerated arteriosclerosis may be mediated, in part, by a cytotoxic T-lymphocyte-directed endothelialitis. "
14,1,"Blood transfusion and recurrence of colorectal cancer: the role of platelet derived growth factors. Efforts to explain the possible effects of blood transfusion on the recurrence of colorectal cancer have been based entirely on the immunosuppressive effects of blood transfusion. However, the relationship between solid tumour development and the immune system is inconclusive. We have investigated an alternative mechanism involving the potential role of growth factors in this phenomenon. Using a human fibroblast: [125I]deoxyuridine uptake mitogenesis assay, the relative amounts of growth factor in the plasma of stored blood were measured. There was a progressive increase in mitogenesis from day 0 (n = 6) to day 28 (n = 6; P less than 0.001, Mann-Whitney U test). The effect of growth factors on the development of liver and intraperitoneal metastases was studied in Hooded Lister rats. Following an intraportal injection of 10(5) MC28 tumour cells, the experimental group (n = 25) received 2 ml of syngeneic serum intravenously for 4 days. Likewise, colonic anastomoses were performed on omentectomized rats and the peritoneal cavity seeded with 10(3) cells. The experimental groups (n = 20) received either 2 ml serum intravenously repeatedly or 3 ml serum intraperitoneally (n = 19). There was no significant increase in liver metastases or peritoneal disease following intravenous infusion of serum but serum delivered intraperitoneally resulted in a significant increase in tumour from 22 per cent in the controls to 89 per cent in the study group (P less than 0.01). Growth factors released from platelets following blood loss into the peritoneal cavity may be important in enhancing local recurrence of colorectal cancer. "
15,0,"Milk protein enteropathy after acute infectious gastroenteritis: experimental and clinical observations. Animal models of allergic gastroenteropathy have defined both morphologic and physiologic changes that accompany the immune-mediated reaction to a dietary protein. In such models a broadening of the allergic response to other dietary proteins present in the gastrointestinal tract may occur during the localized anaphylactic reaction. The characteristic histologic intestinal findings of food protein-induced enteropathy may develop in selected infants with protracted diarrhea after infectious enteritis. Mechanisms underlying the induction of this response remain to be explained, but they may in part be similar to the broadening of the hypersensitivity response seen in experimental models of allergic enteropathy. "
16,3,"Modification of stroke susceptibility by genotype-dependent maternal influences. The influence of the prenatal and postnatal maternal environment on stroke susceptibility was evaluated by reciprocally crossing the spontaneously hypertensive (SHR) and the Dahl salt-sensitive (SS/Jr) inbred rat strains to produce reciprocal F1 hybrids that were nurtured, respectively, during prenatal and postnatal life by SHR or SS/Jr mothers. Following placement on a high-salt diet containing 8% NaCl at 35 days of age, F1 rats reared by SHR mothers had shorter survival times and were more likely to die with cerebral hemorrhage than F1s reared by SS/Jrs. Across reciprocal F1 female groups, enhanced susceptibility to stroke was associated with greater elevations of systolic blood pressure, but this association was not seen across reciprocal F1 male groups. There was also an association between blood pressure and stroke within each F1/gender subgroup: Rats eventually suffering strokes developed higher blood pressure after placement on the high-salt diet than rats that did not suffer stroke. Lower day 35 body weights (before exposure to the high-salt diet) were associated with greater likelihood of stroke both across the reciprocal F1 groups, and within three of the four F1/gender subgroups. The differences in stroke susceptibility between the reciprocal F1 groupings may be due to systematic differences in the prenatal and/or postnatal environments of SHR and SS/Jr mothers and may be mediated by variations in the nutritive capacity of the two inbred mothers. "
17,4,"Light scattering detection of microemboli in an extracorporeal LVAD bovine model. Thromboembolization studies were performed on two calves supported by extracorporeal left ventricular assist devices (LVAD) using a light scattering (He Ne Laser) microemboli detector (LSMD). The LSMD system was placed on the outflow cannula of the LVAD in the extracorporeal loop of each animal. The measurements included the size, number, and rate of production of circulating microemboli in the range 20 microns less than microemboli diameter less than 1,000 microns. These data were compared to independently and concurrently obtained measurements of emboli shear rate (CPF), platelet count, red blood count (RBC), leukocyte count (WBC), plasma free hemoglobin, factors XIII, X, and V, and sorbitol dehydrogenase. Embolic number and volume were seen to be most dynamic in the very early phases of acute thromboembolization (0-40 minutes) with a peak embolic response within the first 30 minutes. The dynamics of reduced emboli volume, rather than number, may be implicated in the later stages of the thromboembolic passivation of these ventricles. The LSMD results generally showed an inverse correlation of microemboli volume rate with CPF measurements for each ventricle. LSMD, CPF, and leukocyte and platelet counts, showed a direct correlation with reduced counts for each additional ventricle for both calves. Factor XII was seen to have a more direct correlation in time with LSMD measurements for each ventricle than other parameters under investigation. This study represents the first time laser scattering and filtration methods have been applied simultaneously with hematologic assays in order to study the dynamics of device associated thrombogenesis. "
18,0,"Eosinophilia-myalgia syndrome (L-tryptophan-associated neuromyopathy). Histopathologic study of skeletal muscle biopsy in a patient with eosinophilia-myalgia syndrome following L-tryptophan use showed prominent lymphocytic perineuritis, neuritis, and perimysial fasciitis. The presence of perineuritis and neuritis provides a histopathologic basis for clinical features of neuropathy in eosinophilia-myalgia syndrome and occurred in conjunction with a fasciitis or interstitial myositis that was predominantly perimysial and focally endomysial. "
19,1,"Etoposide in the management of non-small cell lung cancer. Etoposide is a phase-specific, schedule-dependent derivative of podophyllotoxin that appears to act by inhibiting DNA-topoisomerase II. Early preclinical work demonstrated sharp activity in mouse leukemias and possible synergy with cisplatin. As a single agent (either orally or intravenously), it demonstrated limited benefit in non-small cell lung cancer (NSCLC), with response rates around 10%. In combination with cisplatin, it has become a mainstay of chemotherapeutic efforts, either as primary therapy or in conjunction with radiation. Response rates in advanced disease average around 30%, climbing to more than 50% in patients with Stage IIIA or IIIB disease. More recent work suggests that the issue of the true synergy of etoposide with cisplatin in NSCLC needs reassessment. The relative roles of etoposide and cisplatin in the combination are unclear, as several studies conflict. Pharmacokinetic data suggest that multiple daily fractions of etoposide are superior to prolonged infusions, warranting several future trials. The current major role for etoposide plus cisplatin would appear to be in multimodality therapy where the combination can be readily combined with radiation and/or surgery. Several other agents have been studied with etoposide or etoposide plus cisplatin (mitomycin, vindesine, doxorubicin, cyclophosphamide, ifosfamide, and carboplatin), but it is unclear whether the addition of any of them offers any response or survival advantage. "
20,0,"Salvage from cardiogenic shock by atherectomy after failed emergency coronary artery angioplasty. In this case report of a patient undergoing angioplasty for cardiogenic shock during acute myocardial infarction, recurrent occlusion resulted in recurrence of shock. Atherectomy reestablished lasting patency and reversed the patient's hemodynamic collapse. Atherectomy deserves further investigation as a means to salvage vessel patency during unsuccessful coronary angioplasty. "
21,0,"Immunopathology of diabetes in the RT6-depleted diabetes-resistant BB/Wor rat. Insulin-dependent diabetes mellitus appears to be an autoimmune disease that is characterized morphologically by insulitis, an inflammation of the pancreatic islets of Langerhans that results in the destruction of the insulin-producing beta cells. The RT6-depleted DR rat provides a good model for the in situ study of insulitis. The authors used the anti-RT6.1 monoclonal antibody to selectively deplete RT6 T cells in DR rats and produce a synchronous and rapid development of insulitis that commences 10 days after treatment. The phenotype of cells that infiltrated the islets at different stages of insulitis in the RT6-depleted DR rat was determined by immunocytochemical techniques. A prodromal period of 10 days was present in which the authors could not detect morphologic alterations within the pancreas. This is followed by a second phase of early insulitis in which a few islets are infiltrated by macrophages and T cells. This rapidly progresses by 18 days to the final phase of generalized insulitis in which the islets are massively infiltrated by macrophages and T cells. "
22,2,"Use of plasmid profiles in the investigation of a patient with Helicobacter pylori infection and peptic ulcer disease. Plasmids may effect bacterial virulence and antibiotic resistance, and serve as epidemiologic markers. In this study, plasmid DNA profiles of serial isolates of Helicobacter pylori showed persistence of an identical strain of this organism in a patient with duodenal ulcer disease. Three control strains of H. pylori isolated from other patients contained plasmids different from each other and from that of the original patient; two of these strains had two plasmids each. These data have important implications for further study of the epidemiology and pathogenesis of H. pylori-related diseases. "
23,1,"Remission induction and continuation therapy in children with their first relapse of acute lymphoid leukemia. A Pediatric Oncology Group study. Between January 1979 and April 1983, 113 children undergoing their first relapse of acute lymphoid leukemia (ALL) at any site were registered in Pediatric Oncology Group study 7834; 98 were eligible and evaluable. In addition to radiotherapy administered to sites of local relapse, induction consisted of vincristine, doxorubicin, and prednisone (VAP) chemotherapy. Continuation therapy consisted of triple-drug intrathecal therapy and regimens of 6-thioguanine and cytarabine alternating with vincristine, prednisone, cyclophosphamide, and cytarabine. Randomization in continuation was between VAP pulses or no pulse, regardless of the site of relapse. This report provides long-term follow-up of these patients. Thirty-two of 39 children with bone marrow involvement achieved a complete response (CR). Only one of these is alive in an unmaintained remission, a child who did not have an initial CR. Thirty-four of 36 evaluable children with central nervous system involvement as the site of relapse achieved CR. Of these ten are alive; eight are in continuing CR. Nineteen of 20 boys with testicular relapse achieved CR. Of these, 14 are still alive and not receiving therapy, although only one half received treatment in compliance with the protocol described. These results illustrate the possibility of cure of patients who have relapsed with ALL when it is (1) confined to a meningeal or gonadal site and (2) treated vigorously with radiotherapy and a new regimen of systemic chemotherapy. The results reconfirm the need to prevent an initial relapse at any site. "
24,2,"Prevalence of ulcerative colitis in the Israeli kibbutz population. We carried out an epidemiological study of ulcerative colitis in 279 Israeli kibbutzim (121,403 population). The prevalence on December 31, 1987 was 121.08 per 100,000 population. When the data were stratified according to ethnic groups, the highest point prevalence was found in Israeli-born Jews (220.56 per 100,000 population), more than in Asian-African-born, or European-American-born kibbutz members (139.20 and 78.73 cases per 100,000 population, respectively). There were 68 men and 78 women (ratio of 0.87). The average age of the patients in the year of this survey was 46 years; it was 35 years at the time of diagnosis. Proctitis was found in 57%, left-sided colitis in 12%, and substantial or total colitis in 31%. Relapse at pregnancy was demonstrated in seven patients, and remission in one. Family history of a first-degree relative with inflammatory bowel disease was documented in three patients (2%). Probable complications of ulcerative colitis were observed in 38 (26%), anemia in 13 (9%). One patient (0.7%) with rectal cancer, also had breast cancer. We suggest that the impressive increase in ulcerative colitis prevalence among Israeli and Asian-African-born, in comparison with European-American-born kibbutz members, points toward a role of environmental factors in the etiology of this disease. "
25,2,"Medical treatment of esophageal achalasia. Double-blind crossover study with oral nifedipine, verapamil, and placebo Calcium channel blockers have been previously shown to decrease lower esophageal sphincter (LES) pressure and improve symptoms in achalasia. We performed a placebo-controlled, double-blind, crossover study to assess the effects of oral nifedipine and verapamil on LES pressure, amplitude of esophageal body contraction, and clinical symptomatology in eight patients with symptomatic achalasia diagnosed by endoscopy, barium swallow, and manometry. Patients were randomized to receive up to 20 mg nifedipine, 160 mg verapamil, or placebo and underwent esophageal manometry before (baseline) and after four weeks on each drug. Diary cards were kept to record and grade symptoms and drug plasma level determinations were correlated with manometric and clinical findings. Both nifedipine and verapamil caused a statistically significant decrease in mean LES pressure, but only nifedipine caused a significant decrease in the amplitude of contractions of the smooth muscle portion of the esophagus. No statistically significant differences in the overall clinical symptomatology were noted with any of the drugs, although some individual improvements in dysphagia and chest pain were noted. We conclude that, despite the reduction in LES pressure and contraction amplitude of the distal esophageal body, oral nifedipine and verapamil do not significantly alter the clinical symptomatology of patients with achalasia. "
26,1,"The human immunodeficiency virus type 2 vpr gene is essential for productive infection of human macrophages. The human immunodeficiency virus (HIV) genetic determinant(s) responsible for tropism in human T cells or macrophages are not well defined. We studied the role of the HIV type 2 (HIV-2) nef and vpr genes in viral tropism. HIV-2 mutants, lacking either vpr or nef genes, or both vpr and nef, were obtained by site-specific mutagenesis of a biologically active HIV-2 proviral clone (HIV-2sbl/isy), which is infectious in both human T cells and macrophages. Viral progeny carrying mutations of nef, vpr, or of both nef and vpr genes replicated more efficiently than the parental virus in primary human peripheral blood cells and in the human Hut 78 T-cell line. In contrast, the HIV-2 nef- mutant infected human macrophages as efficiently as the parental virus, whereas viruses lacking the vpr gene either alone or in conjunction with the lack of the nef gene did not replicate in macrophages. Thus, some lack of nef in HIV-2 enhances viral replication in T cells and does not interfere with viral replication in primary macrophages, whereas vpr is essential for replication of HIV-2 in human macrophages. Because the parental HIV-2sbl/isy cloned virus also infects rhesus macaques, the use in animal studies of these HIV-2 mutants with differences in cell tropism and rates of replication will be highly useful in understanding the mechanism of viral infectivity and possibly pathogenicity in vivo. "
27,3,"A limited diagnostic investigation for obstructive sleep apnea syndrome. Oximetry and static charge sensitive bed. A simplified sleep apnea investigation consisting of combined oximetry and respiration movement monitoring was compared with conventional polysomnography. These two types of recordings were performed simultaneously during one night in 77 patients with suspected obstructive sleep apnea syndrome (OSAS). A static charge sensitive bed (SCSB) was used in the simplified recording because it provides a comfortable and reliable means of recording respiration movements. Periods of obstructive apneas gave a diamond-shaped periodic respiration movement pattern in the SCSB, usually accompanied by repetitive oxygen desaturations. The average number of desaturations greater than or equal to 4 percent per sleeping hour was termed the oxygen desaturation index (ODI) and compared with the apnea index (AI). In the whole population they were well correlated (p less than 0.0001, R2 = 0.41), but in individual cases there were considerable discrepancies. Patients with periodic respiration movements less than 18 percent of total sleeping time and ODI less than 2 never had AI greater than or equal to 5, whereas patients with periodic respiration greater than 45 percent and ODI greater than 6 always had AI greater than or equal to 5. Fifty-one of the 77 patients fulfilled these criteria. A bradycardia response to apneas was absent in 29 percent of patients with AI greater than or equal to 5. A combination of respiration movement and oximetry recording thus seems to give sufficient information to confirm or negate a diagnosis of OSAS in a majority of patients with clinical symptoms. In borderline patients, further investigations should be performed. "
